video_id,views,likes,dislikes,comment_count
_7985zBEM3o,3702942,161760,1414,13839
_7985zBEM3o,3927954,166854,1465,13525
_7985zBEM3o,4053642,169558,1499,13736
_7985zBEM3o,4124554,171313,1520,13794
_7985zBEM3o,4209089,172661,1542,13851
_7985zBEM3o,4282079,173770,1560,13907
_7985zBEM3o,4337319,174797,1574,13938
_7985zBEM3o,4387465,175843,1586,14002
_7985zBEM3o,4422637,176570,1595,14025
_7985zBEM3o,4454278,177142,1599,14039
_7985zBEM3o,4482053,177643,1604,14088
_7985zBEM3o,4508855,178079,1615,14117
_7985zBEM3o,4617004,179934,1646,14291
_7985zBEM3o,4637291,180239,1652,14329
_7985zBEM3o,4658245,180572,1655,14362
_7985zBEM3o,4680083,180901,1662,14380
_7985zBEM3o,4756568,182092,1683,14500
_7985zBEM3o,4770810,182418,1698,14549
_7985zBEM3o,4797747,182762,1707,14508
_7z85ipjSwA,1106785,39283,1920,3200
_7z85ipjSwA,2437030,56247,2994,3985
_7z85ipjSwA,2569033,56965,3055,3991
_7z85ipjSwA,2695659,57943,3106,3993
_7z85ipjSwA,2815652,58890,3172,4056
_7z85ipjSwA,2941031,59843,3247,4079
_7z85ipjSwA,3061527,60662,3308,4102
_7z85ipjSwA,3190968,61533,3367,4135
_7z85ipjSwA,3313295,62332,3458,4149
_7z85ipjSwA,3433523,63083,3502,4170
_7z85ipjSwA,3526273,63653,3554,4182
_7z85ipjSwA,3613390,64233,3590,4187
_7z85ipjSwA,3695676,64780,3627,4213
_7z85ipjSwA,3778696,65209,3673,4242
_7z85ipjSwA,3862704,65745,3719,4240
_7z85ipjSwA,3944245,66262,3761,4283
_7z85ipjSwA,4022078,66710,3796,4305
_7z85ipjSwA,4101509,67207,3843,4339
_7z85ipjSwA,4170370,67647,3864,4344
_7z85ipjSwA,4243032,68058,3897,4350
_7z85ipjSwA,4309274,68484,3933,4331
_7z85ipjSwA,4371073,68919,3964,4351
_7z85ipjSwA,4432150,69255,3997,4362
_7z85ipjSwA,4489728,69351,4024,4381
_7z85ipjSwA,4536896,69668,4051,4381
_7z85ipjSwA,4582404,69950,4084,4399
_7z85ipjSwA,4628097,70267,4104,4414
_7z85ipjSwA,4671803,70582,4141,4414
_7z85ipjSwA,4717173,70939,4163,4442
_AsPY1bQx70,1040208,34097,718,2797
_AsPY1bQx70,1149909,35585,793,2857
_AsPY1bQx70,1271231,36918,912,2899
_AsPY1bQx70,1388222,38165,999,2966
_AsPY1bQx70,1483160,39138,1072,2989
_AsPY1bQx70,1588044,40182,1147,3037
_AsPY1bQx70,1687093,41166,1224,3059
_AsPY1bQx70,1777690,42076,1285,3116
_AsPY1bQx70,1858644,42868,1325,3124
_AsPY1bQx70,1938660,43641,1360,3169
_AsPY1bQx70,2011357,44396,1417,3216
_AsPY1bQx70,2080583,45040,1477,3237
_AsPY1bQx70,2157103,45699,1534,3259
_AsPY1bQx70,2233802,46342,1573,3282
_AsPY1bQx70,2307844,46971,1604,3282
_AsPY1bQx70,2381737,47553,1652,3337
_AsPY1bQx70,2452979,48072,1689,3336
_AsPY1bQx70,2520336,48602,1734,3378
_AsPY1bQx70,2578912,49079,1763,3391
_AsPY1bQx70,2642311,49590,1794,3438
_AsPY1bQx70,2702205,50178,1834,3473
_AsPY1bQx70,2771954,50775,1880,3493
_AsPY1bQx70,2844576,51374,1923,3512
_AsPY1bQx70,2924302,52045,1963,3542
_ckccU8ojRg,1002337,14880,499,1080
_ckccU8ojRg,1062071,15562,515,1105
